,Date,Value
0,"December 31, 2017",3.288B
1,"September 30, 2017",2.985B
2,"June 30, 2017",2.790B
3,"March 31, 2017",2.696B
4,"December 31, 2016",2.285B
5,"September 30, 2016",2.298B
6,"June 30, 2016",1.270B
7,"March 31, 2016",1.147B
8,"December 31, 2015",1.214B
9,"September 30, 2015",936.79M
10,"June 30, 2015",954.98M
11,"March 31, 2015",939.88M
12,"December 31, 2014",956.66M
13,"September 30, 2014",851.80M
14,"June 30, 2014",769.35M
15,"March 31, 2014",620.54M
16,"December 31, 2013",615.22M
17,"September 30, 2013",431.35M
18,"June 30, 2013",405.14M
19,"March 31, 2013",561.79M
20,"December 31, 2012",306.33M
21,"September 30, 2012",50.10M
22,"June 30, 2012",26.65M
23,"March 31, 2012",30.17M
24,"December 31, 2011",39.38M
